X,0.00,1.67,3.33,5.00,6.67,8.33,10.00,11.67,33.33,55.00,56.67,58.33,60.00,61.67,63.33,65.00,66.67,68.33,70.00,71.67
ZU,-3.5,-0.10,0.68,1.83,3.25,4.08,4.50,4.58,4.58,4.58,4.42,4.33,4.25,4.08,4.00,3.83,3.83,3.50,3.42,3.08
ZL,-3.5,-5.72,-6.00,-6.25,-6.25,-6.33,-6.33,-6.33,-6.33,-6.33,-5.58,-4.83,-3.92,-3.17,-2.25,-1.58,-0.67,0.00,0.75,1.67
S,0.0,24.86,37.08,49.11,61.84,71.83,77.27,78.47,78.47,78.47,67.18,55.62,45.16,35.78,27.50,20.31,14.20,9.19,5.26,1.54
